0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time,avg_cpu_util,core_load
19,17,9,5,6,0,20,1,2,19,6618.276311,20.6,0.125
18,19,6,10,14,20,0,1,19,18,6618.276311,20.6,0.125
16,19,4,2,10,20,0,1,19,2,6618.276311,20.6,0.125
19,9,15,10,0,0,1,2,20,19,6618.276311,20.6,0.125
6,10,15,5,1,0,20,1,19,18,6618.276311,20.6,0.125
4,3,12,2,0,20,0,1,19,2,6618.276311,20.6,0.125
5,12,6,2,17,0,20,1,19,18,6618.276311,20.6,0.125
10,15,12,9,1,0,20,19,1,2,6618.276311,20.6,0.125
11,4,10,18,6,20,0,19,18,17,6618.276311,20.6,0.125
8,9,17,4,2,0,20,1,2,3,6618.276311,20.6,0.125
14,2,16,0,13,20,19,18,0,17,6618.276311,20.6,0.125
2,11,15,16,6,20,19,0,1,18,6618.276311,20.6,0.125
19,5,16,12,7,20,19,0,1,18,6618.276311,20.6,0.125
14,5,6,18,1,0,20,19,1,2,6618.276311,20.6,0.125
8,1,12,6,14,0,20,1,2,3,6618.276311,20.6,0.125
11,12,14,9,7,20,0,19,18,17,6618.276311,20.6,0.125
4,9,19,14,0,20,0,19,18,1,6618.276311,20.6,0.125
19,1,3,11,0,0,20,1,2,3,6618.276311,20.6,0.125
16,1,19,0,9,20,0,1,19,2,6618.276311,20.6,0.125
8,10,18,17,4,0,1,20,2,19,6618.276311,20.6,0.125
4,1,9,12,16,20,19,18,0,17,6618.276311,20.6,0.125
11,5,6,3,17,20,0,19,18,17,6618.276311,20.6,0.125
7,9,10,12,0,20,0,1,19,18,6618.276311,20.6,0.125
19,15,18,4,5,20,0,1,2,19,6618.276311,20.6,0.125
12,15,8,16,14,0,20,19,1,2,6618.276311,20.6,0.125
19,17,8,3,12,0,1,20,2,19,6618.276311,20.6,0.125
15,13,18,5,9,20,0,1,2,3,6618.276311,20.6,0.125
11,5,3,18,15,0,20,1,2,19,6618.276311,20.6,0.125
7,19,6,2,11,0,20,1,2,3,6618.276311,20.6,0.125
16,15,6,7,11,20,19,18,0,17,6618.276311,20.6,0.125
11,15,13,2,3,0,20,1,19,18,6618.276311,20.6,0.125
11,10,0,6,16,0,20,1,2,3,6618.276311,20.6,0.125
7,4,12,10,3,20,19,0,1,18,6618.276311,20.6,0.125
19,9,6,18,4,0,20,19,1,18,6618.276311,20.6,0.125
17,3,14,12,13,20,0,19,18,17,6618.276311,20.6,0.125
18,8,11,16,14,0,20,1,2,19,6618.276311,20.6,0.125
8,15,5,13,19,0,20,19,1,18,6618.276311,20.6,0.125
5,4,11,18,19,20,0,1,19,2,6618.276311,20.6,0.125
9,11,10,18,6,0,20,1,2,19,6618.276311,20.6,0.125
5,14,2,13,12,20,0,1,19,2,6618.276311,20.6,0.125
9,17,7,0,13,20,19,18,0,1,6618.276311,20.6,0.125
11,7,8,4,18,0,20,1,2,19,6618.276311,20.6,0.125
19,12,5,10,8,20,0,19,18,1,6618.276311,20.6,0.125
13,5,8,14,12,0,20,1,2,19,6618.276311,20.6,0.125
9,2,10,4,0,20,0,1,19,18,6618.276311,20.6,0.125
14,18,19,11,5,0,20,1,19,18,6618.276311,20.6,0.125
6,0,4,18,17,0,20,1,2,19,6618.276311,20.6,0.125
16,17,15,19,3,0,20,19,1,2,6618.276311,20.6,0.125
5,19,6,17,8,0,20,1,2,19,6618.276311,20.6,0.125
5,9,19,0,12,20,0,19,18,1,6618.276311,20.6,0.125
4,0,10,7,16,20,0,19,18,1,6618.276311,20.6,0.125
12,4,18,13,10,20,0,1,19,18,6618.276311,20.6,0.125
17,12,3,8,15,20,19,18,0,17,6618.276311,20.6,0.125
18,17,6,14,11,20,0,1,19,2,6618.276311,20.6,0.125
3,15,10,2,14,20,19,0,18,17,6618.276311,20.6,0.125
18,2,3,11,17,20,0,1,19,2,6618.276311,20.6,0.125
7,18,17,15,16,0,20,1,2,3,6618.276311,20.6,0.125
6,4,0,18,7,0,20,19,1,18,6618.276311,20.6,0.125
