0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
0,3,4,18,5,20,0,1,19,18,43704.78933,17.62,0.0625
10,15,2,12,5,0,1,2,3,4,43704.78933,17.62,0.0625
2,14,17,7,13,20,0,19,18,17,43704.78933,17.62,0.0625
15,9,7,5,2,0,20,19,1,2,43704.78933,17.62,0.0625
6,10,15,1,0,20,19,18,17,16,43704.78933,17.62,0.0625
0,17,3,7,12,20,19,18,17,16,43704.78933,17.62,0.0625
1,7,6,16,5,20,19,0,18,17,43704.78933,17.62,0.0625
13,3,6,10,17,0,1,20,19,2,43704.78933,17.62,0.0625
17,2,11,12,0,0,20,19,18,1,43704.78933,17.62,0.0625
12,11,13,19,6,0,1,20,2,19,43704.78933,17.62,0.0625
5,0,3,1,13,0,20,19,18,1,43704.78933,17.62,0.0625
11,4,17,9,14,20,0,19,1,2,43704.78933,17.62,0.0625
12,5,17,13,16,20,0,19,18,17,43704.78933,17.62,0.0625
1,10,3,8,12,0,1,20,2,19,43704.78933,17.62,0.0625
12,0,11,14,13,0,1,20,19,18,43704.78933,17.62,0.0625
6,9,10,15,17,20,0,1,19,18,43704.78933,17.62,0.0625
15,6,1,17,0,0,1,2,20,3,43704.78933,17.62,0.0625
19,0,5,3,7,20,19,0,1,18,43704.78933,17.62,0.0625
1,6,10,17,11,20,19,18,0,1,43704.78933,17.62,0.0625
5,18,11,1,6,20,19,0,1,18,43704.78933,17.62,0.0625
19,8,14,2,12,20,19,18,17,0,43704.78933,17.62,0.0625
1,8,7,4,17,20,19,18,0,1,43704.78933,17.62,0.0625
19,13,12,6,3,0,20,1,19,2,43704.78933,17.62,0.0625
5,6,9,0,19,0,20,19,18,17,43704.78933,17.62,0.0625
0,8,5,10,16,0,20,19,1,2,43704.78933,17.62,0.0625
6,2,19,14,13,20,0,1,19,18,43704.78933,17.62,0.0625
19,0,11,17,3,20,0,1,19,18,43704.78933,17.62,0.0625
7,18,3,17,0,20,0,1,19,18,43704.78933,17.62,0.0625
8,1,0,5,2,20,19,0,18,17,43704.78933,17.62,0.0625
9,17,3,0,12,0,20,1,2,3,43704.78933,17.62,0.0625
3,14,10,19,12,20,19,18,17,16,43704.78933,17.62,0.0625
19,10,3,9,7,0,1,20,2,19,43704.78933,17.62,0.0625
8,14,6,0,12,20,19,18,0,1,43704.78933,17.62,0.0625
16,4,0,6,18,0,1,2,20,19,43704.78933,17.62,0.0625
16,15,19,0,9,0,20,19,1,2,43704.78933,17.62,0.0625
11,17,6,19,4,0,1,2,20,3,43704.78933,17.62,0.0625
5,15,2,12,0,20,0,19,18,1,43704.78933,17.62,0.0625
7,10,4,11,15,20,19,0,18,17,43704.78933,17.62,0.0625
17,14,11,13,3,0,20,1,2,3,43704.78933,17.62,0.0625
15,5,13,1,11,0,1,20,2,3,43704.78933,17.62,0.0625
16,14,8,12,10,20,19,18,0,1,43704.78933,17.62,0.0625
2,19,17,12,5,20,0,19,1,2,43704.78933,17.62,0.0625
4,19,5,11,15,20,0,1,19,2,43704.78933,17.62,0.0625
1,17,9,6,10,20,19,18,0,1,43704.78933,17.62,0.0625
6,15,2,17,12,0,1,20,2,3,43704.78933,17.62,0.0625
10,3,11,18,16,0,20,19,1,2,43704.78933,17.62,0.0625
6,13,4,9,5,0,1,20,19,2,43704.78933,17.62,0.0625
4,19,0,3,1,0,1,2,20,3,43704.78933,17.62,0.0625
9,8,1,16,13,20,0,19,18,17,43704.78933,17.62,0.0625
3,13,4,11,17,20,0,19,18,17,43704.78933,17.62,0.0625
18,15,9,4,7,20,19,18,17,16,43704.78933,17.62,0.0625
1,14,5,6,9,20,0,19,1,2,43704.78933,17.62,0.0625
11,14,12,17,1,0,1,2,3,4,43704.78933,17.62,0.0625
3,15,11,5,13,0,1,2,20,3,43704.78933,17.62,0.0625
0,16,1,18,13,20,0,1,2,19,43704.78933,17.62,0.0625
