0,1,2,3,4,output_0,output_1,output_2,output_3,output_4,exec_time(s),avg_cpu_util(%),core_load(%)
9,13,3,6,10,0,3,8,19,17,1623746.343,16.98,0.03125
3,5,19,18,9,0,6,1,2,8,1623746.343,16.98,0.03125
15,13,7,2,11,0,2,5,1,3,1623746.343,16.98,0.03125
3,15,10,14,11,0,3,9,20,17,1623746.343,16.98,0.03125
18,9,1,4,12,0,3,2,13,8,1623746.343,16.98,0.03125
10,3,13,18,11,0,2,3,13,4,1623746.343,16.98,0.03125
8,5,17,7,10,15,9,1,20,4,1623746.343,16.98,0.03125
13,7,6,8,12,14,9,3,6,19,1623746.343,16.98,0.03125
11,15,3,18,7,0,8,2,20,17,1623746.343,16.98,0.03125
17,2,16,13,4,0,13,17,3,1,1623746.343,16.98,0.03125
7,1,2,16,3,0,7,2,6,20,1623746.343,16.98,0.03125
11,7,6,18,15,1,3,4,13,8,1623746.343,16.98,0.03125
18,7,8,10,14,0,8,1,19,17,1623746.343,16.98,0.03125
1,13,19,2,18,0,9,1,19,17,1623746.343,16.98,0.03125
4,0,12,13,7,0,13,2,3,7,1623746.343,16.98,0.03125
2,7,13,15,3,0,1,8,2,5,1623746.343,16.98,0.03125
19,4,12,11,5,14,3,4,13,8,1623746.343,16.98,0.03125
0,6,2,17,16,15,9,5,20,3,1623746.343,16.98,0.03125
0,13,10,3,9,0,3,9,20,18,1623746.343,16.98,0.03125
11,19,15,18,8,14,8,3,20,0,1623746.343,16.98,0.03125
13,16,5,3,4,14,9,1,20,0,1623746.343,16.98,0.03125
12,10,16,6,18,0,7,2,6,19,1623746.343,16.98,0.03125
8,12,9,6,18,0,3,2,4,8,1623746.343,16.98,0.03125
12,15,19,0,3,19,3,6,7,4,1623746.343,16.98,0.03125
9,14,16,3,18,0,3,4,13,9,1623746.343,16.98,0.03125
10,16,9,7,13,0,3,9,19,17,1623746.343,16.98,0.03125
1,5,6,16,9,0,2,5,1,3,1623746.343,16.98,0.03125
13,7,2,8,0,0,3,2,13,4,1623746.343,16.98,0.03125
1,15,16,19,7,0,7,2,3,19,1623746.343,16.98,0.03125
14,12,16,13,4,14,3,4,6,19,1623746.343,16.98,0.03125
5,19,4,6,13,0,3,9,20,18,1623746.343,16.98,0.03125
0,3,17,4,19,0,7,2,6,20,1623746.343,16.98,0.03125
12,13,16,3,17,0,13,17,3,8,1623746.343,16.98,0.03125
2,10,16,17,4,15,9,1,20,4,1623746.343,16.98,0.03125
11,4,9,12,2,19,3,6,7,4,1623746.343,16.98,0.03125
10,6,2,13,16,0,2,3,13,8,1623746.343,16.98,0.03125
9,0,12,13,17,0,1,2,3,7,1623746.343,16.98,0.03125
4,12,5,11,19,0,3,4,13,9,1623746.343,16.98,0.03125
19,5,4,10,18,15,9,3,20,5,1623746.343,16.98,0.03125
7,6,15,10,0,0,14,3,20,9,1623746.343,16.98,0.03125
1,2,5,15,17,0,1,8,19,17,1623746.343,16.98,0.03125
2,14,3,1,5,15,9,3,20,4,1623746.343,16.98,0.03125
15,1,18,8,16,0,6,1,2,8,1623746.343,16.98,0.03125
16,17,3,7,2,1,3,4,13,8,1623746.343,16.98,0.03125
6,4,1,13,15,0,13,2,3,7,1623746.343,16.98,0.03125
19,9,18,7,8,0,3,1,13,8,1623746.343,16.98,0.03125
6,8,1,13,9,0,3,2,4,8,1623746.343,16.98,0.03125
11,4,12,13,2,14,8,3,20,0,1623746.343,16.98,0.03125
2,19,5,1,16,0,1,9,13,17,1623746.343,16.98,0.03125
13,0,3,19,1,0,13,3,4,8,1623746.343,16.98,0.03125
12,17,10,8,7,0,3,2,6,8,1623746.343,16.98,0.03125
8,5,17,11,13,14,9,1,20,0,1623746.343,16.98,0.03125
18,17,2,16,12,14,6,7,20,3,1623746.343,16.98,0.03125
12,16,17,6,0,14,9,3,6,19,1623746.343,16.98,0.03125
